NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-11-07;2020-11-13;No;287.943;0.794994;362.1950;141.2332;62;1783.6397;431;352;8.6842;7;3;2
ALT CAMP;01;2020-11-07;2020-11-13;Si;;;4536.0824;412.3711;2;3711.3402;17;1;28.5714;0;0;0
ALT CAMP;01;2020-11-06;2020-11-12;No;276.058;0.738942;373.5848;136.6773;60;1858.8122;458;358;8.4171;9;3;0
ALT CAMP;01;2020-11-06;2020-11-12;Si;;;4536.0824;412.3711;2;12783.5051;62;0;4.2553;0;0;0
ALT CAMP;01;2020-11-05;2020-11-11;No;313.569;0.773334;405.4762;152.6230;67;2061.5503;568;337;8.0045;7;3;0
ALT CAMP;01;2020-11-05;2020-11-11;Si;;;4536.0824;206.1855;1;12577.3195;60;1;2.0833;0;0;0
ALT CAMP;01;2020-11-04;2020-11-10;No;341.203;0.780128;437.3675;164.0128;72;2150.3906;613;331;7.9090;7;3;0
ALT CAMP;01;2020-11-04;2020-11-10;Si;;;4536.0824;0.0000;0;11958.7628;57;1;0.0000;0;0;0
ALT CAMP;01;2020-11-03;2020-11-09;No;381.362;0.78969;482.9267;214.1278;94;2202.7836;609;358;10.1480;10;1;0
ALT CAMP;01;2020-11-03;2020-11-09;Si;;;4742.2680;2886.5979;14;23298.9690;111;2;15.3846;0;0;0
ALT CAMP;01;2020-11-02;2020-11-08;No;384.841;0.778532;494.3164;205.0160;90;2243.7868;673;312;8.9119;9;1;0
ALT CAMP;01;2020-11-02;2020-11-08;Si;;;5773.1958;3298.9690;16;23711.3402;111;4;17.2043;0;0;0
ALT CAMP;01;2020-11-01;2020-11-07;No;395.686;0.80047;494.3164;191.3483;84;2159.5024;642;306;8.4142;12;1;0
ALT CAMP;01;2020-11-01;2020-11-07;Si;;;5773.1958;3711.3402;18;24329.8969;111;7;18.7500;0;0;0
ALT CAMP;01;2020-10-31;2020-11-06;No;441.976;0.854726;517.0960;220.9617;97;2435.1351;664;405;9.0385;11;0;0
ALT CAMP;01;2020-10-31;2020-11-06;Si;;;5773.1958;4123.7113;20;26185.5670;115;12;19.0476;0;0;1
ALT CAMP;01;2020-10-30;2020-11-05;No;486.545;0.850949;571.7670;236.9074;104;2476.1384;686;401;9.3573;9;1;0
ALT CAMP;01;2020-10-30;2020-11-05;Si;;;5773.1958;4123.7113;20;19381.4432;72;22;26.3158;0;0;1
ALT CAMP;01;2020-10-29;2020-11-04;No;496.223;0.864433;574.0449;252.8531;111;2881.6146;842;423;8.8116;8;2;0
ALT CAMP;01;2020-10-29;2020-11-04;Si;;;5773.1958;4329.8969;21;19381.4432;73;21;27.6316;0;0;1
